Title,AuthorLabel,NarratorLabel,RuntimeLabel,ReleaseDateLabel,LanguageLabel,score,Raiting,price
Dragon's Justice 9, Bruce Sentar," Jessica Threet, Jack Douglas", 10 hrs and 18 mins, 02-12-24, English,5 out of 5 stars,13 ratings,$24.95
Malice, Kris Michaels, Matt Haynes, 6 hrs and 9 mins, 02-12-24, English,5 out of 5 stars,2 ratings,$19.95
Recon, Craig Alanson, R.C. Bray, 17 hrs and 53 mins, 05-07-24,null,,Not rated yet,$59.99
Defiance of the Fall 12," TheFirstDefier, JF Brink", Pavi Proczko, , 02-28-24, English,,,
Claim Me Forever, A.L. Jackson," Zachary Webber, Desireé Ketchum", 13 hrs and 21 mins, 02-20-24, English,,Not rated yet,$24.95
Threads of Fate, Luke Chmilenko, Luke Daniels, 21 hrs and 40 mins, 05-07-24, English,,Not rated yet,
Alpha Gray, C.J. Primer," Madison Mitts, Holden Maddox", 10 hrs and 58 mins,, English,5 out of 5 stars,3 ratings,$24.95
The Surrogate, Penelope Ward," Jacob Morgan, Desireé Ketchum", 9 hrs and 52 mins, 02-26-24, English,,,$19.95
The Spoil of Beasts, Gregory Ashe,?, 9 hrs and 53 mins, 02-12-24, English,,Not rated yet,$19.95
System Interference, SunriseCV, Adam Verner, 12 hrs and 48 mins, 02-14-24, English,4.5 out of 5 stars,3 ratings,$24.95
The Housemaid Is Watching, Freida McFadden," Lauryn Allman, Ina Marie Smith", 11 hrs and 42 mins, 06-11-24, English,,Not rated yet,$24.95
Resisting Maxu, Victoria Aveline, Stephen Dexter, 9 hrs and 50 mins, 02-13-24, English,4.5 out of 5 stars,3 ratings,$17.49
Wind and Truth, Brandon Sanderson," Kate Reading, Michael Kramer", 40 hrs, 12-06-24, English,,Not rated yet,$47.24
Legend of the Arch Magus: Publisher's Pack 6, Michael Sisa, Tom Taylorson, 14 hrs and 40 mins, 06-25-24, English,,Not rated yet,$49.99
The Waiting, Michael Connelly,, 12 hrs, 11-05-24, English,,Not rated yet,$21.55
We Who Wrestle with God, Jordan B. Peterson, Jordan B. Peterson,, 11-19-24, English,,,$22.75
Guiding Blight, Robyn Peterman, Jessica Almasy,,, English,4.5 out of 5 stars,3 ratings,$22.37
Ghosts in the Garden, Danielle Garrett, Amanda Ronconi, 5 hrs and 46 mins, 02-13-24, English,5 out of 5 stars,7 ratings,$17.49
Wiedergeburt, Brandon Varnell," Christopher Boucher, Jessica Threet", 6 hrs and 35 mins, 02-09-24, English,5 out of 5 stars,4 ratings,
Hell Divers XII: Heroes, Nicholas Sansbury Smith,, 13 hrs, 07-16-24, English,,Not rated yet,$32.87
Crosshairs," James Patterson, James O. Born"," Peter Giles, Will Collyer", 8 hrs and 14 mins, 02-12-24,null,5 out of 5 stars,19 ratings,$19.24
Hell Divers XII: Heroes, Nicholas Sansbury Smith,, 13 hrs, 07-16-24, English,?,Not rated yet,$32.87
Living in the Daze of Deception, Jack Hibbs, Adam Verner, 7 hrs and 5 mins, 02-20-24, English,,null,$17.49
Magic and Mystery,null, Simon Dornet, 2 hrs and 25 mins, 02-12-24, English,5 out of 5 stars,1 rating,$6.95
Hans, S.J. Tilly," Jack Calihan, Chloe Ryan",, 05-14-24, English,,Not rated yet,$44.99
Red Sky Mourning, Jack Carr, Ray Porter, 15 hrs and 30 mins, 05-14-24, English,,Not rated yet,$28.34
Judge, Michael Head, Neil Hellegers, 11 hrs and 8 mins, 02-13-24, English,5 out of 5 stars,5 ratings,$20.99
Life After Power, Jared Cohen, Kevin R. Free, 13 hrs and 52 mins, 02-13-24, English,5 out of 5 stars,1 rating,$19.24
Stiff, Thea Masen," Unfortunate Reads, Richard Pendragon",?, 02-12-24, English,4.5 out of 5 stars,3 ratings,$6.95
Demon's Bluff, Kim Harrison,, 18 hrs, 10-22-24, English,,Not rated yet,$25.03
Untangle Your Emotions, Jennie Allen, Jennie Allen, 5 hrs and 31 mins, 02-13-24, English,5 out of 5 stars,3 ratings,$15.93
From the Forest, L. E. Modesitt Jr., Kirby Heyborne, 21 hrs and 55 mins, 02-13-24, English,,Not rated yet,$24.49
By Any Other Name,,, 15 hrs, 08-20-24, English,?,Not rated yet,$22.75
Gravesong, pirateaba, Andrea Parsneau, 17 hrs and 48 mins, 04-30-24, English,,Not rated yet,$59.99
Ember," Jeffrey Wilson, Brian Andrews",, 14 hrs, 07-02-24, English,,Not rated yet,$27.97
Swift Judgment, Michael Stagg, George Newbern, 10 hrs and 6 mins, 02-27-24, English,,Not rated yet,$44.99
Worthy, Jamie Kern Lima, Jamie Kern Lima, 11 hrs and 26 mins, 02-20-24, English,,Not rated yet,$24.95
The End and the Death: Volume III, Dan Abnett, Jonathan Keeble, 14 hrs and 51 mins, 01-27-24, English,5 out of 5 stars,679 ratings,$32.71
The Secret of the Dragon, Pedro Urvi, John Banks, 15 hrs and 49 mins, 05-07-24, English,,Not rated yet,$44.99
Devil from Moscow, Sonja Grey," Lilly Drake, Michael Gallagher", 9 hrs and 49 mins, 02-13-24, English,5 out of 5 stars,4 ratings,$44.99
Wiedergeburt, Brandon Varnell," Christopher Boucher, Jessica Threet", 6 hrs and 35 mins, 02-09-24, English,5 out of 5 stars,4 ratings,$19.95
Ledge, Grey Huffington," Jamal Roque, Katherine Dollison", 10 hrs and 31 mins, 02-13-24, English,4 out of 5 stars,4 ratings,$44.99
Transformed, Marty Cagan, Marty Cagan, 8 hrs, 03-12-24, English,,Not rated yet,$17.49
Death of a Spy," M. C. Beaton, R.W. Green - contributor", David Monteath, 6 hrs and 26 mins, 02-13-24, English,4 out of 5 stars,3 ratings,null
Shadow of Doubt, Brad Thor,, 11 hrs and 30 mins, 07-23-24, English,,Not rated yet,$23.62
Fangirl Down, Tessa Bailey, Callie Dalton, 11 hrs and 29 mins, 02-13-24, English,4.5 out of 5 stars,6 ratings,$21.83
The Far Hope Collection, Sierra Simone," Evelyn Rose, Shane East, James Joseph, Faye Adele, Christy Woods", 12 hrs and 27 mins, 02-12-24, English,,Not rated yet,$24.95
The Stranger in Her House, John Marrs," Elizabeth Knowelden, Soneela Nankani, Steve West", 10 hrs and 11 mins, 02-13-24, English,4.5 out of 5 stars,5 ratings,$30.09
Fake Boyfriend Breakaways, Eden Finley," Iggy Toma, Alexander Cendese", 6 hrs and 47 mins, 02-13-24, English,,Not rated yet,$17.49
Fire and Fury," Christopher Hopper, J.N. Chaney", Christopher Ryan Grant, 12 hrs and 22 mins, 05-07-24, English,,Not rated yet,$54.99
Homerun Proposal, Maren Moore," Alex Kydd, Sarah McEwan", 10 hrs and 22 mins, 02-13-24, English,5 out of 5 stars,5 ratings,$44.99
Our Fault, Mercedes Ron," Hugo Locke, Hannah Carmona", 13 hrs and 8 mins, 02-13-24, English,5 out of 5 stars,1 rating,$20.99
Ruthless Creatures, J.T. Geissinger," Brooke Daniels, Troy Duran, Michelle Sparks", 10 hrs and 25 mins, 02-13-24, English,5 out of 5 stars,2 ratings,$20.78
Anaheim," Dennis Vanderkerken, Dakota Krout",null, 14 hrs and 21 mins, 02-21-24, English,,Not rated yet,$24.95
On Locations," Mark Kamine, Mike White - Foreword", Michael Butler Murray, 6 hrs and 20 mins, 02-13-24, English,,Not rated yet,$17.49
Born of Blood and Ash, Jennifer L. Armentrout,, 24 hrs, 05-07-24, English,null,Not rated yet,$32.89
Jake's Magical Market 2, J.R. Mathews, John Pirhalla, 22 hrs and 5 mins, 02-15-24, English,,Not rated yet,$54.99
Chrysalis 4, RinoZ," Jeff Hays, Annie Ellicott", 17 hrs and 42 mins, 02-27-24, English,,Not rated yet,$24.95
Among the Pines, Jack Slater, Brittany Pressley, 9 hrs and 33 mins, 02-13-24, English,,Not rated yet,$44.99
Doomsday Recon," Jason Anspach, Ryan Williamson", Mark Boyett, 17 hrs and 53 mins, 02-13-24, English,,Not rated yet,$49.99
Discovering Daniel," Amir Tsarfati, Rick Yohn - contributor", Amir Tsarfati, 6 hrs and 13 mins, 05-07-24, English,,Not rated yet,$48.99
Simply the Best, Susan Elizabeth Phillips, Nicole Poole, 9 hrs and 57 mins, 02-13-24, English,5 out of 5 stars,8 ratings,$25.47
The Grey Wolf,?,, 12 hrs and 51 mins, 10-29-24, English,,Not rated yet,$20.78
My Quiet Blacksmith Life in Another World: Volume 5, Tamamaru, Greg Chun, 6 hrs and 30 mins, 02-13-24, English,5 out of 5 stars,7 ratings,$39.99
Devout, Takerra Allen," Morae Brehon, Winston James", 12 hrs and 28 mins, 02-13-24, English,5 out of 5 stars,4 ratings,$44.99
Age of Revolutions, Fareed Zakaria, Fareed Zakaria, 11 hrs and 30 mins, 03-26-24, English,,Not rated yet,$23.62
Leather & Lark, Brynne Weaver,, Not Yet Known, 06-04-24, English,,Not rated yet,$48.99
Majestic, Nick Webb, Greg Tremblay, 11 hrs and 13 mins, 02-12-24, English,,Not rated yet,$24.95
Angel of Vengeance," Douglas Preston, Lincoln Child",, 14 hrs, 08-13-24, English,,Not rated yet,$36.50
Last Day of the Human, Kirill Klevanski, Kevin T. Collins, 17 hrs and 51 mins, 02-13-24, English,5 out of 5 stars,1 rating,$20.99
Do the New You, Steven Furtick, Steven Furtick, 9 hrs and 25 mins, 02-13-24, English,5 out of 5 stars,9 ratings,$31.93
If only I had told her (German edition)," Laura Nowlin, Melike Karamustafa, Bettina Hengesbach - Übersetzer"," Lydia Herms, David Hörning, Timo Fakhravar", 10 hrs and 31 mins, 02-12-24, German,,Not rated yet,$21.68
The Phoenix Crown," Kate Quinn, Janie Chang"," Saskia Maarleveld, Katharine Chin", 11 hrs and 35 mins, 02-13-24, English,,Not rated yet,$20.01
Neighbors and Other Stories, Diane Oliver, Emana Rachelle, 8 hrs and 18 mins, 02-13-24, English,,Not rated yet,$48.99
The Dregs of Empire, Christopher Ruocchio, Samuel Roukin, 9 hrs and 4 mins, 02-13-24, English,5 out of 5 stars,2 ratings,$24.49
Colliding with Fate, A.E. Valdez," iiKane, Winston James", 13 hrs and 51 mins, 02-13-24, English,5 out of 5 stars,3 ratings,$44.99
Evil Boys, Clarissa Wild," Corvin King, Desireé Ketchum", 16 hrs and 43 mins, 02-13-24, English,4.5 out of 5 stars,3 ratings,$49.99
Dungeon War, Playwars aka Alex S. Weber, Mare Trevathan, 14 hrs and 1 min, 02-13-24, English,5 out of 5 stars,2 ratings,$44.99
Extremely Hardcore, Zoë Schiffer, Jaime Lamchick, 8 hrs and 42 mins, 02-13-24, English,,Not rated yet,$18.20
21 Days to Jump-Start Your Intuition, Sonia Choquette, Sonia Choquette, 4 hrs and 17 mins, 02-13-24, English,,Not rated yet,$14.69
Until Hanna, Aurora Rose Reynolds," Nick Mondelli, Ruby Cherise", 7 hrs and 9 mins, 02-13-24, English,5 out of 5 stars,4 ratings,$48.99
The Black Bird Oracle, Deborah Harkness,, 17 hrs, 07-16-24, English,,Not rated yet,$38.50
Divine Agreements, Daniel Schinhofen, Andrea Parsneau, 13 hrs and 45 mins, 02-09-24, English,5 out of 5 stars,84 ratings,$24.95
Jesus and Politics, Bunni Pounds, Bunni Pounds, 9 hrs and 3 mins, 02-13-24, English,,Not rated yet,$13.99
"Hits, Flops, and Other Illusions", Ed Zwick, Ed Zwick, 10 hrs and 23 mins, 02-13-24, English,5 out of 5 stars,1 rating,$18.47
My Anti-Hero, Tijan," Andi Arndt, Teddy Hamilton", 14 hrs and 31 mins, 02-08-24, English,4.5 out of 5 stars,37 ratings,$48.99
Trifecta, Jerry Boyd, Chris Ciulla, 8 hrs and 30 mins, 02-13-24, English,4.5 out of 5 stars,8 ratings,$44.99
"Chrysalis, Books 1-3", RinoZ," Jeff Hays, Annie Ellicott", 54 hrs and 41 mins, 02-14-24, English,,Not rated yet,$29.95
The Warm Hands of Ghosts, Katherine Arden," Michael Crouch, January LaVoy, Katherine Arden", 11 hrs and 38 mins, 02-13-24, English,5 out of 5 stars,2 ratings,
The Burning Witch 3: A Humorous Romantic Fantasy, Delemhach, Matthew Wolf, 18 hrs and 27 mins, 05-28-24, English,,Not rated yet,$49.99
Shattered Will," J.N. Chaney, Terry Maggert", Jeffrey Kafer, 10 hrs and 9 mins, 03-26-24, English,,Not rated yet,$39.99
Visions of Flesh and Blood," Jennifer L. Armentrout, Rayvn Salvador - contributor", Stina Nielsen, 25 hrs and 53 mins, 02-20-24, English,,Not rated yet,$32.89
Sweet Intensity, Zoe Blake," Tor Thom, Lauren Sweet", 7 hrs and 5 mins, 02-13-24, English,5 out of 5 stars,6 ratings,$34.99
The End of Everything, Victor Davis Hanson,, 15 hrs, 05-07-24, English,,Not rated yet,$36.50
Frostbitten, Rebecca Zanetti, Stephen Borne, 10 hrs and 28 mins, 02-13-24, English,5 out of 5 stars,4 ratings,$17.49
Trailer Park Parable, Tyler Zed, Tyler Zed, 4 hrs and 56 mins, 02-20-24, English,,Not rated yet,$17.49
At the River, Kendra Elliot," Teri Schnaubelt, Shaun Taylor-Corbett", 10 hrs and 9 mins, 02-13-24, English,5 out of 5 stars,5 ratings,$30.09
The Heart Is the Strongest Muscle, Tia Toomey, Tia Toomey, 6 hrs and 30 mins, 02-13-24, English,5 out of 5 stars,1 rating,$15.93
The Perfect Passion Company, Alexander McCall Smith, Amy Alexander, 11 hrs and 46 mins, 02-13-24, English,,Not rated yet,$27.99
You Like It Darker, Stephen King,, 20 hrs, 05-21-24, English,,Not rated yet,$33.07
The Holy Grail of Investing," Tony Robbins, Christopher Zook"," Jeremy Bobb, Tony Robbins, full cast", 11 hrs and 28 mins, 02-13-24, English,,Not rated yet,$18.47
Slow Productivity, Cal Newport, Cal Newport, 9 hrs and 30 mins, 03-05-24, English,,Not rated yet,$31.50
Why Can't I Get It Together?, Jamie Ivey, Jamie Ivey, 5 hrs and 19 mins, 02-13-24, English,5 out of 5 stars,1 rating,$20.01
Detained, Luna Mason," Angelina Rocca, Antonio Amato", 10 hrs and 51 mins, 02-12-24, English,5 out of 5 stars,12 ratings,$24.95
All the Skills 3: A Deck-Building LitRPG, Honour Rae, Luke Daniels, 16 hrs and 8 mins, 03-12-24, English,,Not rated yet,$49.99
Meant for Stone, Natasha Madison," Stephanie Rose, Patrick Zeller", 8 hrs and 21 mins, 02-26-24, English,,Not rated yet,$19.95
The Red Zone Rivals Series Box Set, Kandi Steiner," Hannah Chiclana, Chris Williams, Edward Black, Miranda Dyer, Amy L. Levin, Megan Wicks, Gabriel Marquez", 38 hrs and 59 mins, 02-06-24, English,,Not rated yet,$29.95
In Too Deep," Lee Child, Andrew Child",, 10 hrs, 10-22-24, English,,Not rated yet,$22.75
Big Bad Boss: Midnight," Renee Rose, Lee Savino"," Kai Kennicott, Wen Ross", 7 hrs and 47 mins, 02-12-24, English,5 out of 5 stars,1 rating,$19.95
An Assassination on the Agenda, T E Kinsey,, 9 hrs, 05-21-24, English,,Not rated yet,$30.09
This Is Why We Lied, Karin Slaughter,, 12 hrs, 08-20-24, English,,Not rated yet,$30.79
Abigale, Leigh Fenty, James Romick, 5 hrs and 47 mins, 02-12-24, English,,Not rated yet,$19.95
The Other Significant Others, Rhaina Cohen, Rhaina Cohen, 8 hrs and 41 mins, 02-13-24, English,5 out of 5 stars,1 rating,$25.51
The House of Hidden Meanings, RuPaul, RuPaul, 7 hrs and 7 mins, 03-05-24, English,,Not rated yet,$25.47
The Primal Hunter 8, Zogarth, Travis Baldree, 19 hrs and 50 mins, 01-17-24, English,5 out of 5 stars,"2,814 ratings",$21.99
Slaying the Vampire Conqueror, Carissa Broadbent, Amanda Leigh Cobb, 11 hrs and 29 mins, 02-13-24, English,4.5 out of 5 stars,3 ratings,$44.99
Carnage, Shantel Tessier," Teddy Hamilton, Michelle Sparks", 18 hrs and 29 mins, 01-25-24, English,4.5 out of 5 stars,216 ratings,$24.95
Girl Abroad, Elle Kennedy, Georgina Sadler, 12 hrs and 30 mins, 02-13-24, English,5 out of 5 stars,1 rating,$27.27
To Stand Between Sea and Sky, Draith, Andrea Emmes, 13 hrs and 54 mins, 02-13-24, English,5 out of 5 stars,1 rating,$44.99
An American Dreamer, David Finkel, Rob Shapiro, 6 hrs and 34 mins, 02-13-24, English,5 out of 5 stars,1 rating,$18.20
I'm Starting to Worry About This Black Box of Doom, Jason Pargin,, 12 hrs and 21 mins, 09-24-24, English,,Not rated yet,$20.78
Good Energy, Casey Means MD,, 9 hrs, 05-14-24, English,,Not rated yet,$31.50
His Maker's Mark, Kristen Painter, B.J. Harrison, 2 hrs and 54 mins, 02-14-24, English,,Not rated yet,$6.95
While the City Sleeps, Elizabeth Camden, Kathryn Markey, 12 hrs and 15 mins, 02-13-24, English,,Not rated yet,$27.99
A Calamity of Souls, David Baldacci,, 12 hrs, 04-16-24, English,,Not rated yet,$31.93
Breakthrough Coaching, Marcia Reynolds, Candace Joice, 6 hrs and 1 min, 02-27-24, English,,Not rated yet,$17.49
Ascendance of a Bookworm: Part 1 Volume 1," Miya Kazuki, quof - translator, You Shiina - illustrator", Reba Buhr, 8 hrs and 12 mins, 02-14-24, English,5 out of 5 stars,1 rating,$17.49
Viva Durant and the Mystery at the Masquerade Ball, Ashli St. Armant, Bahni Turpin, 4 hrs and 19 mins, 02-08-24, English,5 out of 5 stars,44 ratings,$24.95
Valley of the Dead," Christopher Hopper, J.N. Chaney", Christopher Ryan Grant, 11 hrs and 2 mins, 03-12-24, English,,Not rated yet,$49.99
The Mercy of Gods, James S.A. Corey,, 18 hrs and 30 mins, 08-06-24, English,,Not rated yet,$34.99
Lone Wolf, Gregg Hurwitz, Scott Brick, 13 hrs and 13 mins, 02-13-24, English,4.5 out of 5 stars,15 ratings,$20.78
The Book of Love, Kelly Link, January LaVoy, 23 hrs and 31 mins, 02-13-24, English,,Not rated yet,$27.30
The Pursuit of Happiness, Jeffrey Rosen," Sean Patrick Hopkins, Jeffrey Rosen", 10 hrs and 51 mins, 02-13-24, English,,Not rated yet,$18.47
The Witches of Scotland, Steven P. Aitchison, Lianne Walker, 4 hrs and 4 mins, 02-09-24, English,,Not rated yet,$14.95
Nexus, Yuval Noah Harari,, 14 hrs, 09-10-24, English,,Not rated yet,$22.75
Think Ahead, Craig Groeschel, Craig Groeschel, 8 hrs and 10 mins, 02-20-24, English,,Not rated yet,$22.74
Burn Book, Kara Swisher, Kara Swisher, 7 hrs and 40 mins, 02-27-24, English,,Not rated yet,$18.47
The Legend of Randidly Ghosthound 6: A LitRPG Adventure," Noret Flood, puddles4263", MacLeod Andrews, 26 hrs and 16 mins, 04-02-24, English,,Not rated yet,$59.99
Why We Remember, Charan Ranganath," Mark Deakins, Charan Ranganath", 7 hrs and 18 mins, 02-20-24, English,,Not rated yet,$18.20
Released, Rosa Lee," Evelyn Rose, Lucas Webley", 10 hrs and 39 mins, 02-09-24, English,5 out of 5 stars,5 ratings,$24.95
Mushoku Tensei, Rifujin na Magonote, Cliff Kurt, 7 hrs and 14 mins, 02-08-24, English,5 out of 5 stars,14 ratings,$19.95
That First Night, Jenn McMahon," Alex Kydd, Laurie West", 11 hrs and 30 mins, 02-13-24, English,,Not rated yet,$20.99
The Gorgon Incident and Other Stories, John Bierce, Ralph Lister, 16 hrs and 14 mins, 02-27-24, English,,Not rated yet,$54.99
The Fox Wife, Yangsze Choo, Yangsze Choo, 14 hrs and 37 mins, 02-13-24, English,,Not rated yet,$31.18
Toxic Prey, John Sandford, Robert Petkoff, 12 hrs, 04-09-24, English,,Not rated yet,$31.50
Rogue Ascension, Hunter Mythos, André Santana, 13 hrs and 9 mins, 02-13-24, English,4.5 out of 5 stars,11 ratings,$44.99
The New Menopause, Mary Claire Haver MD, Mary Claire Haver MD, 11 hrs, 04-30-24, English,,Not rated yet,$31.50
The Anxious Generation, Jonathan Haidt, Sean Pratt, 11 hrs, 03-26-24, English,,Not rated yet,$31.50
At First Spite, Olivia Dade, Joy Nash, 12 hrs and 42 mins, 02-13-24, English,5 out of 5 stars,2 ratings,$25.47
The Book of Doors, Gareth Brown, Miranda Raison, 13 hrs and 16 mins, 02-13-24, English,,Not rated yet,$24.56
The Familiar, Leigh Bardugo, Lauren Fortgang, 12 hrs and 30 mins, 04-09-24, English,,Not rated yet,$25.51
Camino Ghosts, John Grisham,, 9 hrs, 05-28-24, English,,Not rated yet,$35.00
Savage Throne, Mila Kane," Addison Barnes, Gideon Frost", 7 hrs and 38 mins, 02-13-24, English,4.5 out of 5 stars,7 ratings,$39.99
X'd in the Xeriscape, Dale Mayer, Mandy Kaplan, 5 hrs and 59 mins, 02-08-24, English,5 out of 5 stars,1 rating,$19.95
The Eternal Ones, Namina Forna, Shayna Small, 14 hrs and 29 mins, 02-13-24, English,5 out of 5 stars,1 rating,$25.03
What Feasts at Night, T. Kingfisher, Avi Roque, 5 hrs and 2 mins, 02-13-24, English,4.5 out of 5 stars,6 ratings,$15.39
Private Equity, Carrie Sun, Carrie Sun, 8 hrs and 44 mins, 02-13-24, English,,Not rated yet,$18.20
River of Fate, David North, Zachary Johnson, 15 hrs and 26 mins, 02-09-24, English,5 out of 5 stars,10 ratings,$24.95
Ready or Not, Cara Bastone, Alex Finke, 10 hrs and 50 mins, 02-13-24, English,5 out of 5 stars,2 ratings,$20.48
Black Summoner: Volume 7," Doufu Mayoi, Taishi - Translated by", Kyle Tait, 7 hrs and 54 mins, 02-13-24, English,5 out of 5 stars,1 rating,$17.49
Joyful Recollections of Trauma, Paul Scheer, Paul Scheer, 6 hrs and 45 mins, 05-21-24, English,,Not rated yet,$31.93
The Letters of J. R. R. Tolkien," J. R. R. Tolkien, Humphrey Carpenter - editor, Christopher Tolkien - editor"," Samuel West, Mike Grady, Chris Smith", 29 hrs and 2 mins, 02-29-24, English,,Not rated yet,$34.90
A Murder in Hollywood, Casey Sherman, Casey Sherman, 9 hrs and 4 mins, 02-13-24, English,5 out of 5 stars,1 rating,$24.49
Pride and Prejudice, Jane Austen, Rosamund Pike, 11 hrs and 35 mins, 12-08-15, English,5 out of 5 stars,"39,662 ratings",$24.95
Zombieslayer, Nathan Long, Jonathan Keeble, 11 hrs and 17 mins, 02-10-24, English,5 out of 5 stars,7 ratings,$32.71
Higher Ground, Alison Taylor, Julia Anthony, 9 hrs and 37 mins, 02-13-24, English,5 out of 5 stars,1 rating,$17.49
HBR Guide to Making Every Meeting Matter, Harvard Business Review, Christopher Walker, 3 hrs and 48 mins, 02-27-24, English,,Not rated yet,$13.99
We Who Wrestle With God, Jordan B. Peterson,, Not Yet Known, 11-19-24, English,,Not rated yet,$39.26
Murder at an Irish Chipper, Carlene O'Connor, Caroline Lennon, 9 hrs and 37 mins, 02-20-24, English,,Not rated yet,$24.49
"So I'm a Spider, So What?, Vol. 8"," Okina Baba, Tsukasa Kiryu - illustrator", Caitlin Kelly, 7 hrs and 23 mins, 02-13-24, English,4.5 out of 5 stars,11 ratings,$29.65
The Atlas Maneuver, Steve Berry, Scott Brick, 13 hrs and 20 mins, 02-20-24, English,,Not rated yet,$36.50
Shadowblade," Terry Mancour, Emily Burch Harris", Fiona Hardingham, 21 hrs and 22 mins, 03-26-24, English,,Not rated yet,$54.99
We Play Games, Sarah A. Denzil," Billie Piper, Dan Stevens, Shane Zaza, Avita Jay, Felicity Duncan, David Holt, Sarah Whitehouse", 8 hrs and 41 mins, 01-11-24, English,4.5 out of 5 stars,"1,727 ratings",$16.35
Winter Lost, Patricia Briggs,, 11 hrs, 06-18-24, English,,Not rated yet,$31.50
It's Not You, Ramani Durvasula PhD, Ramani Durvasula PhD, 11 hrs and 31 mins, 02-20-24, English,,Not rated yet,$20.48
Until the Stars Fall, Vanessa Rasanen," Zura Johnson, Zachary Johnson", 14 hrs and 25 mins, 02-13-24, English,,Not rated yet,$48.99
Reborn as a Demonic Tree 2, XKarnation, Ramón De Ocampo, 13 hrs and 15 mins, 03-26-24, English,,Not rated yet,$31.49
The Chaos Agent, Mark Greaney, Jay Snyder, Not Yet Known, 02-20-24, English,,Not rated yet,$24.95
