Title,AuthorLabel,NarratorLabel,RuntimeLabel,ReleaseDateLabel,LanguageLabel,score,Raiting,price
Irish, Brittanee Nicole," Joe Arden, Maxine Mitchell", 9 hrs and 1 min, 01-04-24, English,5 out of 5 stars,278 ratings,$19.95
The Total Money Makeover Updated and Expanded, Dave Ramsey, Dave Ramsey, 7 hrs and 17 mins, 05-14-24, English,,Not rated yet,$23.95
The Bad Weather Friend, Dean Koontz, Ray Chase, 8 hrs and 42 mins, 02-01-24, English,4.5 out of 5 stars,257 ratings,$25.19
Mushoku Tensei, Rifujin na Magonote, Cliff Kurt, 9 hrs and 18 mins, 02-05-24, English,4.5 out of 5 stars,14 ratings,$19.95
Tom Clancy Act of Defiance," Brian Andrews, Jeffrey Wilson", Scott Brick, 13 hrs, 05-21-24, English,,Not rated yet,$35.00
Brought Forth on This Continent, Harold Holzer, Mark Bramhall, 12 hrs and 50 mins, 02-13-24, English,,Not rated yet,$20.48
Red Company: Invasion, B.V. Larson, Mark Boyett, 9 hrs and 40 mins, 04-30-24, English,,Not rated yet,$49.99
Training Your Own Service Dog at Home, David Winslow, Russ Jankovitz, 5 hrs and 16 mins, 02-07-24, English,5 out of 5 stars,21 ratings,$19.95
The Demon of Unrest, Erik Larson," Will Patton, Erik Larson", 15 hrs, 04-30-24, English,,Not rated yet,$38.50
Nothing to Fear, Julie McFadden RN,, 9 hrs, 06-11-24, English,,Not rated yet,$28.00
The Reason I Married Him, Meghan Quinn," Aaron Shedlock, Stella Hunter", 16 hrs and 5 mins, 02-06-24, English,4.5 out of 5 stars,106 ratings,$24.95
Funny Story, Emily Henry, Julia Whelan, 11 hrs, 04-23-24, English,,Not rated yet,$31.50
Celestial Citadel," James Hunter, Eden Hudson", Travis Baldree, 10 hrs and 38 mins, 02-05-24, English,5 out of 5 stars,14 ratings,$24.95
The Icarus Twin, Timothy Zahn, Marc Thompson, 14 hrs and 12 mins, 02-13-24, English,,Not rated yet,$22.75
Golden Son, Pierce Brown, Tim Gerard Reynolds, 19 hrs and 3 mins, 01-06-15, English,5 out of 5 stars,"45,984 ratings",$25.79
HOT Honor, Lynn Raye Harris," Gregory Salinas, Samantha Cook", 8 hrs, 02-09-24, English,5 out of 5 stars,6 ratings,$19.95
"Basic Economics, Fifth Edition", Thomas Sowell, Stefan Rudnicki, 28 hrs and 6 mins, 02-20-24, English,,Not rated yet,$53.87
El estrecho sendero entre deseos [The Narrow Road Between Desires]," Patrick Rothfuss, Gemma Rovira Ortega - translator", Raúl Lloréns, 4 hrs and 35 mins, 02-22-24, Spanish,,Not rated yet,$6.71
Triple Trouble, Jesse H Reign," Ellis Evans, Liam DiCosimo, Michael Ferraiuolo", 7 hrs and 37 mins, 02-13-24, English,4.5 out of 5 stars,4 ratings,$39.99
Savage Hearts, J.T. Geissinger," Brooke Daniels, Michelle Sparks, Troy Duran", 10 hrs and 34 mins, 02-13-24, English,,Not rated yet,$20.78
Not Your Crush's Cauldron, April Asher, Zura Johnson, 11 hrs and 37 mins, 02-13-24, English,,Not rated yet,$48.99
Shamanslayer, Nathan Long, Jonathan Keeble, 10 hrs and 49 mins, 01-20-24, English,5 out of 5 stars,96 ratings,$32.71
Fairy Tale, Stephen King," Seth Numrich, Stephen King", 24 hrs and 6 mins, 09-06-22, English,4.5 out of 5 stars,"69,147 ratings",$26.24
Reborn as a Space Mercenary, Ryuto, Fred Berman, 7 hrs and 3 mins, 02-05-24, English,5 out of 5 stars,25 ratings,$19.95
Devout, Takerra Allen," Morae Brehon, Winston James", 12 hrs and 28 mins, 02-13-24, English,5 out of 5 stars,4 ratings,$44.99
Possession, Brynne Asher," Jason Clarke, Rose Dioro", 14 hrs, 01-25-24, English,5 out of 5 stars,96 ratings,$24.95
The Fellowship of the Ring, J. R. R. Tolkien, Andy Serkis, 22 hrs and 38 mins, 09-16-21, English,5 out of 5 stars,"15,654 ratings",$25.79
To Stand Between Sea and Sky, Draith, Andrea Emmes, 13 hrs and 54 mins, 02-13-24, English,5 out of 5 stars,1 rating,$44.99
Morning Star (Part 1 of 2) (Dramatized Adaptation), Pierce Brown," full cast, Chris Davenport, Colleen Delany, Danny Gavigan, Stewart Crank, Jon Vertullo, Jenna Sharpe, Andrew James Spooner, Laura C. Harris, Kimberly Gilbert, Bradley Foster Smith, Andy Brownstein", 9 hrs and 46 mins, 02-08-24, English,5 out of 5 stars,5 ratings,$27.99
Outlander, Diana Gabaldon, Davina Porter, 32 hrs and 38 mins, 07-13-06, English,4.5 out of 5 stars,"77,880 ratings",$30.09
"Unintended Cultivator, Volume One", Eric Dontigney, Adam Verner, 13 hrs and 40 mins, 01-25-24, English,5 out of 5 stars,107 ratings,$24.95
Bridging The Gap, Mark Tufo, Sean Runnette, Not Yet Known, 03-12-24, English,,Not rated yet,$34.95
The Two Towers, J. R. R. Tolkien, Andy Serkis, 20 hrs and 46 mins, 09-16-21, English,5 out of 5 stars,"10,131 ratings",$25.79
Ashes of You, Catherine Cowles," Ava Erickson, Sebastian York", 9 hrs and 12 mins, 02-08-24, English,5 out of 5 stars,129 ratings,$19.95
"Holmes, Marple & Poe"," James Patterson, Brian Sitts", Christine Lakin, 9 hrs and 8 mins, 01-08-24, English,4.5 out of 5 stars,403 ratings,$21.83
The Bride's Runaway Billionaire, Pippa Grant," Connor Crais, Savannah Peachwood", 9 hrs and 59 mins, 01-17-24, English,5 out of 5 stars,171 ratings,$19.95
Adolescent Brain 101, Joyce T., Brian Morrow, 3 hrs and 38 mins, 02-09-24, English,5 out of 5 stars,8 ratings,$14.95
Aftermath, Craig Alanson, R.C. Bray, 19 hrs and 10 mins, 12-12-23, English,5 out of 5 stars,"3,343 ratings",$49.90
Stay Together, Kaylee Ryan," Eric MacArthur, Alexa Elmy", 7 hrs and 18 mins, 02-13-24, English,,Not rated yet,$17.49
A Mist Valley Slice of Life Adventure, Eden Redd, Sierra Kline, 9 hrs and 22 mins, 02-09-24, English,5 out of 5 stars,3 ratings,$19.95
Wear It Well, Allison Bornstein, Suzie Althens, 3 hrs and 36 mins, 02-13-24, English,,Not rated yet,$17.49
Omelet Endgame, Dakota Krout, MacLeod Andrews, 11 hrs and 14 mins, 03-05-24, English,,Not rated yet,$34.95
The Silver Mage, Katharine Kerr, Ruth Urquhart, 16 hrs and 38 mins, 02-20-24, English,,Not rated yet,$24.49
Head over Heels, Karla Sorensen," Ryan West, Savannah Peachwood", 11 hrs and 22 mins, 02-06-24, English,4.5 out of 5 stars,11 ratings,$24.95
They Flew, Carlos M. N. Eire, Emmanuel Chumaceiro, 16 hrs and 56 mins, 02-13-24, English,,Not rated yet,$24.49
Supercommunicators, Charles Duhigg, Charles Duhigg, 7 hrs and 28 mins, 02-20-24, English,,Not rated yet,$20.48
The Fyodor Dostoyevsky Complete Collection, Fyodor Dostoyevsky," David Rintoul, Jonathan Keeble, Malk Williams, Emma Gregory, Roger May, Ben Allen", 225 hrs, 03-14-24, English,,Not rated yet,$163.62
Somewhere Beyond the Sea, TJ Klune, Daniel Henning, 12 hrs, 09-10-24, English,,Not rated yet,$25.51
Haunted, Lee Mountford, Hannibal Hills, 8 hrs and 49 mins, 02-09-24, English,5 out of 5 stars,4 ratings,$19.95
Boy of Chaotic Making, Charlie N. Holmberg," Amanda Leigh Cobb, Graham Halstead", 9 hrs and 57 mins, 02-13-24, English,4 out of 5 stars,3 ratings,$30.09
Echoes in the Deep," J.N. Chaney, Terry Maggert", Tom Taylorson, 13 hrs and 7 mins, 02-27-24, English,,Not rated yet,$54.99
Alas de Hierro [Iron Flame], Rebecca Yarros," María Carolina Yarussi, Diego Longstaff", 7 hrs, 02-21-24, Spanish,,Not rated yet,$17.49
"Goblin Slayer, Vol. 2 (Light Novel)"," Kumo Kagyu, Noboru Kannatuki - illustrator"," Hayden Daviau, Josh Bangle", 7 hrs and 9 mins, 02-13-24, English,5 out of 5 stars,1 rating,$20.01
Original Sins, Erin Young, Kate Handford, 13 hrs and 2 mins, 02-13-24, English,,Not rated yet,$25.51
Vengeance, Jez Cajiao," Christopher Boucher, Jessica Threet", 19 hrs and 21 mins, 03-12-24, English,,Not rated yet,$59.99
On the Edge, Nate Silver,, 13 hrs, 08-13-24, English,,Not rated yet,$35.00
Countdown, Sean Oswald, Travis Baldree, 16 hrs and 40 mins, 06-04-24, English,,Not rated yet,$49.99
A Court of Frost and Starlight, Sarah J. Maas, Amanda Leigh Cobb, 6 hrs and 23 mins, 05-01-18, English,4.5 out of 5 stars,"13,623 ratings",$17.19
From Diversity to Inclusion, John and Katie McCann, Joe Scalora, 3 hrs and 25 mins, 02-09-24, English,5 out of 5 stars,3 ratings,$14.95
Star Wars: Mace Windu: The Glass Abyss, Steven Barnes,, 13 hrs, 08-06-24, English,,Not rated yet,$35.00
Fairy Tale, Stephen King," Seth Numrich, Stephen King", 24 hrs and 6 mins, 09-06-22, English,4.5 out of 5 stars,"69,147 ratings",$26.24
Reborn as a Space Mercenary, Ryuto, Fred Berman, 7 hrs and 3 mins, 02-05-24, English,5 out of 5 stars,25 ratings,$19.95
A Popular Survey of the New Testament, Norman L. Geisler, Jim Denison, 12 hrs and 59 mins, 02-13-24, English,,Not rated yet,$20.99
The Fellowship of the Ring, J. R. R. Tolkien, Andy Serkis, 22 hrs and 38 mins, 09-16-21, English,5 out of 5 stars,"15,654 ratings",$25.79
Outlander, Diana Gabaldon, Davina Porter, 32 hrs and 38 mins, 07-13-06, English,4.5 out of 5 stars,"77,880 ratings",$30.09
"Unintended Cultivator, Volume One", Eric Dontigney, Adam Verner, 13 hrs and 40 mins, 01-25-24, English,5 out of 5 stars,107 ratings,$24.95
Bridging The Gap, Mark Tufo, Sean Runnette, Not Yet Known, 03-12-24, English,,Not rated yet,$34.95
Kid, Jescie Hall," Joe Arden, CJ Bloom", 14 hrs and 1 min, 01-30-24, English,5 out of 5 stars,171 ratings,$24.95
An Education in Malice, S. T. Gibson, Stephanie Cannon, 8 hrs and 22 mins, 02-13-24, English,,Not rated yet,$19.24
The Two Towers, J. R. R. Tolkien, Andy Serkis, 20 hrs and 46 mins, 09-16-21, English,5 out of 5 stars,"10,131 ratings",$25.79
Brutal Vows, J.T. Geissinger," Brooke Daniels, Erin Quinn, Michelle Sparks, Tara Langella, Troy Duran", 10 hrs and 27 mins, 02-13-24, English,,Not rated yet,$20.78
Ashes of You, Catherine Cowles," Ava Erickson, Sebastian York", 9 hrs and 12 mins, 02-08-24, English,5 out of 5 stars,129 ratings,$19.95
"Holmes, Marple & Poe"," James Patterson, Brian Sitts", Christine Lakin, 9 hrs and 8 mins, 01-08-24, English,4.5 out of 5 stars,403 ratings,$21.83
Aftermath, Craig Alanson, R.C. Bray, 19 hrs and 10 mins, 12-12-23, English,5 out of 5 stars,"3,343 ratings",$49.90
Bible Prophecy Under Siege, Ron Rhodes, Jim Seybert, 8 hrs and 10 mins, 02-13-24, English,,Not rated yet,$48.99
Stay Together, Kaylee Ryan," Eric MacArthur, Alexa Elmy", 7 hrs and 18 mins, 02-13-24, English,,Not rated yet,$17.49
Chasing the Horizon, Mary Connealy, Libby McKnight, 7 hrs and 58 mins, 02-13-24, English,,Not rated yet,$20.99
A Mist Valley Slice of Life Adventure, Eden Redd, Sierra Kline, 9 hrs and 22 mins, 02-09-24, English,5 out of 5 stars,3 ratings,$19.95
Wear It Well, Allison Bornstein, Suzie Althens, 3 hrs and 36 mins, 02-13-24, English,,Not rated yet,$17.49
A Prince So Cruel, Ingrid Seymour, Kasi Hollowell, 9 hrs and 41 mins, 02-13-24, English,5 out of 5 stars,1 rating,$39.99
Omelet Endgame, Dakota Krout, MacLeod Andrews, 11 hrs and 14 mins, 03-05-24, English,,Not rated yet,$34.95
Our Own Way 3, Misty Vixen, Melanie Hastings, 10 hrs and 40 mins, 02-06-24, English,5 out of 5 stars,22 ratings,$51.79
Ten Bridges I've Burnt, Brontez Purnell, Brontez Purnell, 1 hr and 29 mins, 02-13-24, English,,Not rated yet,$6.99
The Bride's Runaway Billionaire, Pippa Grant," Connor Crais, Savannah Peachwood", 9 hrs and 59 mins, 01-17-24, English,5 out of 5 stars,171 ratings,$19.95
Crown of Midnight, Sarah J. Maas, Elizabeth Evans, 12 hrs and 43 mins, 01-28-21, English,5 out of 5 stars,"9,864 ratings",$17.54
The Laws of Human Nature, Robert Greene," Paul Michael, Robert Greene", 28 hrs and 26 mins, 10-23-18, English,5 out of 5 stars,"13,553 ratings",$23.56
The Framed Women of Ardemore House, Brandy Schillace, Lindsey Dorcus, 11 hrs and 38 mins, 02-13-24, English,,Not rated yet,$25.47
Wind and Truth, Brandon Sanderson," Kate Reading, Michael Kramer", 45 hrs, 12-06-24, English,,Not rated yet,$34.90
Game of Rulers, Matthew Peed, Romy Nordlinger, 7 hrs and 57 mins, 02-13-24, English,,Not rated yet,$17.49
Grinders Find A Way, Matthew Balleza, Virtual Voice, 7 hrs and 43 mins, 02-09-24, English,,Not rated yet,$14.99
Bloodline, Seth Ring, Eric Jason Martin, 13 hrs and 28 mins, 03-06-24, English,,Not rated yet,$32.87
Polostan, Neal Stephenson,, 12 hrs, 09-10-24, English,,Not rated yet,$31.93
How You Get the Girl, Anita Kelly," Lindsey Dorcus, Gail Shalan", 11 hrs and 27 mins, 02-13-24, English,4 out of 5 stars,1 rating,$21.55
The First Rule of Mastery," Michael Gervais, Kevin Lake - contributor", Michael Gervais, 5 hrs and 3 mins, 02-20-24, English,,Not rated yet,$17.49
Spring Surprises, C.J. Petit, Michael Alan White, 11 hrs and 41 mins, 02-09-24, English,5 out of 5 stars,2 ratings,$24.95
Mimic & Me," Cassius Lange, Ryan Tang"," Ryan H. Reid, Dorrie Sacks, Jeff Hays", 16 hrs and 57 mins, 08-16-23, English,4.5 out of 5 stars,409 ratings,$24.95
Avatar, Seth Ring,, 14 hrs, 07-30-24, English,,Not rated yet,$32.87
Of Thieves and Shadows," Elle Madison, Robin D. Mahle"," Shiromi Arserio, Grant Cartwright", 9 hrs and 6 mins, 02-13-24, English,,Not rated yet,$17.49
Hábitos atómicos (Español neutro), James Clear, Arturo Guerrero, 9 hrs and 1 min, 09-30-20, Spanish,5 out of 5 stars,"2,305 ratings",$16.33
The Axe Falls, William D. Arand, Nick Podehl, 13 hrs and 28 mins, 04-30-24, English,,Not rated yet,$54.99
The Briar Club, Kate Quinn, Saskia Maarleveld, 15 hrs and 30 mins, 07-09-24, English,,Not rated yet,$31.93
With a Little Luck," Marissa Meyer, Chuck Gonzales - illustrator", Stacy Carolan, 12 hrs and 5 mins, 02-13-24, English,,Not rated yet,$20.78
"Harry Potter and the Sorcerer's Stone, Book 1", J.K. Rowling, Jim Dale, 8 hrs and 18 mins, 11-20-15, English,5 out of 5 stars,"190,980 ratings",$29.99
Games of Death and Desire, Eva Chase," Michelle Sparks, Jason Clarke", 17 hrs and 9 mins, 02-07-24, English,5 out of 5 stars,11 ratings,$24.95
The Tennis Partner, Abraham Verghese, Neil Shah, 13 hrs and 50 mins, 02-27-24, English,,Not rated yet,$25.47
Healing Through Breathing, Eddie Stern, Eddie Stern, 2 hrs and 49 mins, 01-18-24, English,5 out of 5 stars,36 ratings,$14.95
Worst Wingman Ever, Abby Jimenez," Andi Arndt, Zachary Webber", 1 hr and 17 mins, 01-23-24, English,4.5 out of 5 stars,735 ratings,$1.99
Drop Zone, Rick Partlow, James Patrick Cronin, 6 hrs and 58 mins, 02-06-24, English,5 out of 5 stars,3 ratings,$19.95
Oathbringer, Brandon Sanderson," Kate Reading, Michael Kramer", 55 hrs and 5 mins, 11-14-17, English,5 out of 5 stars,"60,481 ratings",$41.24
Grimstone Reckoning, Brad Magnarella, James Patrick Cronin, 4 hrs and 55 mins, 02-09-24, English,5 out of 5 stars,1 rating,$14.95
Tower of Dawn, Sarah J. Maas, Elizabeth Evans, 22 hrs and 39 mins, 09-05-17, English,5 out of 5 stars,"15,438 ratings",$29.99
Lord of Chaos, Robert Jordan," Kate Reading, Michael Kramer", 41 hrs and 32 mins, 12-26-04, English,5 out of 5 stars,"38,984 ratings",$37.49
House of Sky and Breath, Sarah J. Maas, Elizabeth Evans, 27 hrs and 42 mins, 02-15-22, English,5 out of 5 stars,"18,830 ratings",$42.99
Rhythm of War, Brandon Sanderson," Kate Reading, Michael Kramer", 57 hrs and 26 mins, 11-17-20, English,5 out of 5 stars,"35,388 ratings",$31.49
A Warm Place: The Complete Series, Misty Vixen," Gabriel Michael, Katana Jones", 71 hrs and 59 mins, 01-30-24, English,5 out of 5 stars,11 ratings,$54.99
Hell Divers XI: Renegades, Nicholas Sansbury Smith, R. C. Bray, 13 hrs and 4 mins, 12-19-23, English,5 out of 5 stars,"1,120 ratings",$32.87
The Dungeon Anarchist's Cookbook, Matt Dinniman," Jeff Hays, The Critical Drinker", 16 hrs and 54 mins, 05-14-21, English,5 out of 5 stars,"11,030 ratings",$21.99
Hercule Poirot: The Complete Short Stories, Agatha Christie," David Suchet, Hugh Fraser, Nigel Hawthorne, Isla Blair, Simon Vance", 35 hrs and 5 mins, 08-31-21, English,5 out of 5 stars,"1,335 ratings",$41.15
Queen of Shadows, Sarah J. Maas, Elizabeth Evans, 20 hrs and 43 mins, 09-01-15, English,5 out of 5 stars,"14,047 ratings",$29.99
A Court of Mist and Fury, Sarah J. Maas, Jennifer Ikeda, 23 hrs and 16 mins, 05-03-16, English,5 out of 5 stars,"35,496 ratings",$25.79
Project Hail Mary, Andy Weir, Ray Porter, 16 hrs and 10 mins, 05-04-21, English,5 out of 5 stars,"165,170 ratings",$25.99
Too Late, Colleen Hoover," Ryan Gray, Maxine Mitchell, Joe Arden", 10 hrs and 19 mins, 06-27-23, English,4 out of 5 stars,"1,997 ratings",$29.99
Aetheric InFusion, Jonathan Brooks, Miles Meili, 16 hrs and 49 mins, 01-30-24, English,4.5 out of 5 stars,33 ratings,$24.95
System End, Tom Larcombe, Derek Shoales, 14 hrs and 27 mins, 02-20-24, English,,Not rated yet,$24.49
"Sex, Lies and Sensibility", Nikki Payne," Kacie Rogers, Phil Ava, Nikki Payne", 11 hrs and 9 mins, 02-13-24, English,,Not rated yet,$20.48
What Did You Do?, Jeneane O'Riley," Justin Hill, Emily Devereux", 11 hrs and 40 mins, 05-14-24, English,,Not rated yet,$44.99
Six-Figure Side Hustle, Rachel Rodgers, Rachel Rodgers, 3 hrs and 42 mins, 02-01-24, English,4.5 out of 5 stars,61 ratings,$24.95
End Times, John G. Doyle, Michael Bauer, 12 hrs and 25 mins, 02-08-24, English,5 out of 5 stars,2 ratings,$24.95
Eldest, Christopher Paolini, Gerard Doyle, 23 hrs and 30 mins, 07-22-10, English,5 out of 5 stars,"28,467 ratings",$26.71
He Who Fights with Monsters: A LitRPG Adventure," Shirtaloon, Travis Deverell", Heath Miller, 28 hrs and 56 mins, 03-09-21, English,5 out of 5 stars,"33,976 ratings",$51.99
All the Glimmering Stars, Mark Sullivan,, 16 hrs, 05-07-24, English,,Not rated yet,$31.49
Demon Daughter, Lois McMaster Bujold,, 5 hrs, 03-12-24, English,,Not rated yet,$22.37
Holly, Stephen King," Justine Lupe, Stephen King", 15 hrs and 24 mins, 09-05-23, English,4 out of 5 stars,"7,833 ratings",$22.49
Chasing Endless Summer, V.C. Andrews, Caitlin Davies, 7 hrs and 3 mins, 02-13-24, English,,Not rated yet,$13.85
Dune Messiah, Frank Herbert," Scott Brick, Katherine Kellgren, Euan Morton, Simon Vance", 8 hrs and 57 mins, 10-01-07, English,4.5 out of 5 stars,"27,712 ratings",$14.99
A Storm of Swords, George R.R. Martin, Roy Dotrice, 47 hrs and 34 mins, 03-11-04, English,5 out of 5 stars,"76,044 ratings",$31.49
Ese to Master Jefe, Raul R. Ramos, Bill Andersen, 4 hrs and 37 mins, 02-08-24, English,5 out of 5 stars,5 ratings,$14.95
Wolfblade, William King, Phillip Sacramento, 9 hrs and 35 mins, 02-03-24, English,5 out of 5 stars,14 ratings,$32.71
Random in Death, J. D. Robb, Susan Ericksen, 13 hrs and 6 mins, 01-23-24, English,5 out of 5 stars,"1,154 ratings",$20.24
"Harry Potter and the Sorcerer's Stone, Book 1", J.K. Rowling, Jim Dale, 8 hrs and 18 mins, 11-20-15, English,5 out of 5 stars,"190,980 ratings",$29.99
Learn Jamaican Patois for Beginners: Learn the Jamaican Language Fast, Tafari Davis, Aubrey Williams, 6 hrs and 6 mins, 01-22-24, English,5 out of 5 stars,25 ratings,$19.95
Healing Through Breathing, Eddie Stern, Eddie Stern, 2 hrs and 49 mins, 01-18-24, English,5 out of 5 stars,36 ratings,$14.95
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible", Thomas Nelson Inc.," Jason Alexander, Joan Allen, Richard Dreyfuss, Louis Gossett, Malcolm McDowell Jr., Gary Sinese, Marisa Tomei, Stacy Keach", 98 hrs and 1 min, 11-05-09, English,4.5 out of 5 stars,"9,377 ratings",$21.00
Demon's Rage," David Estes, Ben Galley", Tim Gerard Reynolds, 22 hrs and 38 mins, 02-20-24, English,,Not rated yet,$49.99
Acts of Forgiveness, Maura Cheeks, Jade Wheeler, 8 hrs and 20 mins, 02-13-24, English,4 out of 5 stars,1 rating,$18.20
How to ADHD, Jessica McCabe, Jessica McCabe, 8 hrs and 58 mins, 01-02-24, English,5 out of 5 stars,114 ratings,$18.00
Savage Throne, Mila Kane," Addison Barnes, Gideon Frost", 7 hrs and 38 mins, 02-13-24, English,4.5 out of 5 stars,7 ratings,$39.99
Emperor of Rome, Mary Beard, Mary Beard, 14 hrs and 43 mins, 10-24-23, English,4.5 out of 5 stars,109 ratings,$21.90
The Lede, Calvin Trillin, Robert Fass, 10 hrs and 4 mins, 02-13-24, English,,Not rated yet,$28.00
Empire of Storms, Sarah J. Maas, Elizabeth Evans, 25 hrs and 18 mins, 09-06-16, English,5 out of 5 stars,"18,846 ratings",$34.99
How to Talk to Anyone, Leil Lowndes," Joyce Bean, Leil Lowndes", 8 hrs and 59 mins, 09-01-15, English,4 out of 5 stars,"12,521 ratings",$14.99
"Azarinth Healer, Book Three", Rhaegar, Andrea Parsneau, 29 hrs and 23 mins, 12-11-23, English,5 out of 5 stars,995 ratings,$29.95
Feral Shifters: The Complete Series, Callie Rose," Lia Holland, C.J. Grey", 29 hrs and 55 mins, 09-21-22, English,4.5 out of 5 stars,357 ratings,$29.95
Alpha Dragon's Jackal, Hawke Oakley, Matt Haynes, 7 hrs and 17 mins, 02-08-24, English,5 out of 5 stars,6 ratings,$19.95
The Sea of Monsters, Rick Riordan, Jesse Bernstein, 7 hrs and 55 mins, 06-09-06, English,4.5 out of 5 stars,"19,248 ratings",$16.65
Butcher & Blackbird, Brynne Weaver," Joe Arden, Lucy Rivers", 8 hrs and 43 mins, 10-10-23, English,5 out of 5 stars,"7,738 ratings",$17.99
Steamforged Sorcery: The Complete Series, Actus, Peter Berkrot, 32 hrs and 20 mins, 02-07-24, English,4.5 out of 5 stars,3 ratings,$29.95
My Mother and I, Ingrid Seward," Julie Teal, Ingrid Seward", 7 hrs and 18 mins, 02-15-24, English,,Not rated yet,$17.45
"I'm in Love with the Villainess (Light Novel), Vol. 3", Inori, Courtney Shaw, 9 hrs and 14 mins, 02-05-24, English,5 out of 5 stars,3 ratings,$19.95
The Bossy One, Leslie North," Sean Masters, Suzanne T. Fortin", 9 hrs and 56 mins, 02-07-24, English,5 out of 5 stars,7 ratings,$19.95
Abigale, Leigh Fenty, James Romick, 5 hrs and 47 mins, 02-12-24, English,,Not rated yet,$19.95
History for the Classical Child: Early Modern Times (Revised Edition), Susan Wise Bauer, Jim Weiss, 11 hrs and 25 mins, 02-05-24, English,,Not rated yet,$24.95
Dragon Plague, Ava Richardson, Amy Hall, 10 hrs and 15 mins, 02-08-24, English,,Not rated yet,$24.95
Empath & Psychic Abilities: 3 Books in 1, Crystal Mendoza, Manifestation & Meditation Studio, 20 hrs and 9 mins, 02-08-24, English,5 out of 5 stars,22 ratings,$29.95
A Court of Thorns and Roses, Sarah J. Maas, Jennifer Ikeda, 16 hrs and 7 mins, 05-05-15, English,4.5 out of 5 stars,"43,563 ratings",$25.79
